Acumulado;Fecha acumulado   ;fecha           
441,305;1998-05-15 08:00:00;1998-05-15 00:00:00
440,456;1998-05-16 08:00:00;1998-05-16 00:00:00
439,819;1998-05-17 08:00:00;1998-05-17 00:00:00
438,972;1998-05-18 08:00:00;1998-05-18 00:00:00
438,338;1998-05-19 08:00:00;1998-05-19 00:00:00
438,126;1998-05-20 08:00:00;1998-05-20 00:00:00
437,493;1998-05-21 08:00:00;1998-05-21 00:00:00
436,86;1998-05-22 08:00:00;1998-05-22 00:00:00
435,808;1998-05-23 08:00:00;1998-05-23 00:00:00
434,757;1998-05-24 08:00:00;1998-05-24 00:00:00
433,499;1998-05-25 08:00:00;1998-05-25 00:00:00
432,036;1998-05-26 08:00:00;1998-05-26 00:00:00
430,16;1998-05-27 08:00:00;1998-05-27 00:00:00
429,121;1998-05-28 08:00:00;1998-05-28 00:00:00
428,914;1998-05-29 08:00:00;1998-05-29 00:00:00
428,292;1998-05-30 08:00:00;1998-05-30 00:00:00
437,282;1998-05-31 08:00:00;1998-05-31 00:00:00
437,915;1998-06-01 08:00:00;1998-06-01 00:00:00
437,282;1998-06-02 08:00:00;1998-06-02 00:00:00
435,387;1998-06-03 08:00:00;1998-06-03 00:00:00
434,547;1998-06-04 08:00:00;1998-06-04 00:00:00
434,128;1998-06-05 08:00:00;1998-06-05 00:00:00
435,387;1998-06-06 08:00:00;1998-06-06 00:00:00
435,808;1998-06-07 08:00:00;1998-06-07 00:00:00
435,597;1998-06-08 08:00:00;1998-06-08 00:00:00
435,177;1998-06-09 08:00:00;1998-06-09 00:00:00
434,547;1998-06-10 08:00:00;1998-06-10 00:00:00
433,918;1998-06-11 08:00:00;1998-06-11 00:00:00
432,872;1998-06-12 08:00:00;1998-06-12 00:00:00
431,618;1998-06-13 08:00:00;1998-06-13 00:00:00
430,368;1998-06-14 08:00:00;1998-06-14 00:00:00
428,706;1998-06-15 08:00:00;1998-06-15 00:00:00
427,05;1998-06-16 08:00:00;1998-06-16 00:00:00
424,781;1998-06-17 08:00:00;1998-06-17 00:00:00
422,112;1998-06-18 08:00:00;1998-06-18 00:00:00
419,051;1998-06-19 08:00:00;1998-06-19 00:00:00
416,008;1998-06-20 08:00:00;1998-06-20 00:00:00
412,983;1998-06-21 08:00:00;1998-06-21 00:00:00
409,777;1998-06-22 08:00:00;1998-06-22 00:00:00
406,591;1998-06-23 08:00:00;1998-06-23 00:00:00
403,228;1998-06-24 08:00:00;1998-06-24 00:00:00
399,497;1998-06-25 08:00:00;1998-06-25 00:00:00
395,988;1998-06-26 08:00:00;1998-06-26 00:00:00
392,697;1998-06-27 08:00:00;1998-06-27 00:00:00
389,045;1998-06-28 08:00:00;1998-06-28 00:00:00
385,611;1998-06-29 08:00:00;1998-06-29 00:00:00
381,823;1998-06-30 08:00:00;1998-06-30 00:00:00
379,752;1998-07-01 08:00:00;1998-07-01 00:00:00
379,564;1998-07-02 08:00:00;1998-07-02 00:00:00
378,439;1998-07-03 08:00:00;1998-07-03 00:00:00
376,569;1998-07-04 08:00:00;1998-07-04 00:00:00
374,149;1998-07-05 08:00:00;1998-07-05 00:00:00
371,742;1998-07-06 08:00:00;1998-07-06 00:00:00
368,612;1998-07-07 08:00:00;1998-07-07 00:00:00
365,32;1998-07-08 08:00:00;1998-07-08 00:00:00
362,051;1998-07-09 08:00:00;1998-07-09 00:00:00
358,266;1998-07-10 08:00:00;1998-07-10 00:00:00
354,333;1998-07-11 08:00:00;1998-07-11 00:00:00
350,433;1998-07-12 08:00:00;1998-07-12 00:00:00
346,391;1998-07-13 08:00:00;1998-07-13 00:00:00
342,384;1998-07-14 08:00:00;1998-07-14 00:00:00
338,239;1998-07-15 08:00:00;1998-07-15 00:00:00
334,302;1998-07-16 08:00:00;1998-07-16 00:00:00
330,231;1998-07-17 08:00:00;1998-07-17 00:00:00
